frame.time_epoch,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,tcp.len,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,tcp.flags.urg,tcp.flags.cwr,tcp.flags.ece,tcp.window_size_value,tcp.hdr_len
1766194182.379467146,6,10.1.0.8,10.1.0.10,49272,3000,76,0,False,True,False,False,False,False,False,False,64240,40
1766194182.379548550,6,10.1.0.10,10.1.0.8,3000,49272,56,0,False,False,True,False,True,False,False,False,0,20
1766194184.380257409,6,10.1.0.8,10.1.0.10,49286,3000,76,0,False,True,False,False,False,False,False,False,64240,40
1766194184.380266109,6,10.1.0.10,10.1.0.8,3000,49286,56,0,False,False,True,False,True,False,False,False,0,20
1766194186.381099474,6,10.1.0.8,10.1.0.10,49300,3000,76,0,False,True,False,False,False,False,False,False,64240,40
1766194186.381106475,6,10.1.0.10,10.1.0.8,3000,49300,56,0,False,False,True,False,True,False,False,False,0,20
1766194188.382960581,6,10.1.0.8,10.1.0.10,37130,3000,76,0,False,True,False,False,False,False,False,False,64240,40
1766194188.382973781,6,10.1.0.10,10.1.0.8,3000,37130,56,0,False,False,True,False,True,False,False,False,0,20
1766194190.383986948,6,10.1.0.8,10.1.0.10,37138,3000,76,0,False,True,False,False,False,False,False,False,64240,40
1766194190.383994649,6,10.1.0.10,10.1.0.8,3000,37138,56,0,False,False,True,False,True,False,False,False,0,20
1766194192.384762304,6,10.1.0.8,10.1.0.10,37144,3000,76,0,False,True,False,False,False,False,False,False,64240,40
1766194192.384769204,6,10.1.0.10,10.1.0.8,3000,37144,56,0,False,False,True,False,True,False,False,False,0,20
1766194194.385753370,6,10.1.0.8,10.1.0.10,37156,3000,76,0,False,True,False,False,False,False,False,False,64240,40
1766194194.385761070,6,10.1.0.10,10.1.0.8,3000,37156,56,0,False,False,True,False,True,False,False,False,0,20
1766194196.386525771,6,10.1.0.8,10.1.0.10,37168,3000,76,0,False,True,False,False,False,False,False,False,64240,40
