Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
3000,6,20/12/2025 01:32:19,1224.0409851074219,4,2,280,144,76,68,70.0,4.0,76,68,72.0,5.656854249492381,346393.62991819246,4901.796649785742,244.80819702148438,399.2857594878818,957.9658508300781,32.66334533691406,1224.0409851074219,408.01366170247394,529.9684817174827,1019.4778442382812,81.06231689453125,1071.6915130615234,1071.6915130615234,0.0,1071.6915130615234,1071.6915130615234,0,0,0,0,136,72,3267.8644331904948,1633.9322165952474,68,76,70.66666666666667,4.1311822359545785,17.06666666666667,2,2,0,0,5,0,0,0,0.5,70.66666666666667,70.0,72.0,0,0,0,0,0,0,4,280,2,144,64240,65160,0,68,1224.0409851074219,0,1224.0409851074219,1224.0409851074219,0,0,0,0
3000,6,20/12/2025 01:32:19,593867.0635223389,7,5,756,1533,286,68,108.0,80.93618885681897,1253,68,306.6,529.0650243590102,3854.397963112324,20.206542401637346,53987.91486566717,166487.40425147137,554762.3634338379,3.5762786865234375,593867.0635223389,98977.84392038982,223816.20341278668,554762.3634338379,42.20008850097656,593796.0147857666,148449.00369644165,271737.10336484306,555149.3167877197,39.577484130859375,2,1,0,0,232,168,11.787149734288452,8.419392667348895,68,1253,190.75,340.31833359638176,115816.56818181818,2,2,0,3,11,0,0,0,0.7142857142857143,190.75,108.0,306.6,0,0,0,0,0,0,7,756,5,1533,64240,65160,2,68,593867.0635223389,0,593867.0635223389,593867.0635223389,0,0,0,0
3000,6,20/12/2025 01:32:19,576224.3270874023,7,5,756,761,286,68,108.0,80.93618885681897,481,68,152.2,183.83742818044425,2632.655250200674,20.825222809761424,52384.02973521839,157912.87263587955,527352.5714874268,11.205673217773438,576224.3270874023,96037.38784790039,211764.48429543793,527352.5714874268,41.00799560546875,576151.6094207764,144037.9023551941,256219.5339208375,527715.2061462402,382.42340087890625,2,1,0,0,232,168,12.148046639027498,8.677176170733928,68,481,126.41666666666667,127.98683052517077,16380.628787878784,2,2,0,3,11,0,0,0,0.7142857142857143,126.41666666666667,108.0,152.2,0,0,0,0,0,0,7,756,5,761,64240,65160,2,68,576224.3270874023,0,576224.3270874023,576224.3270874023,0,0,0,0
3000,6,20/12/2025 01:32:20,550681.5910339355,7,5,755,761,286,68,107.85714285714286,80.90823726384637,481,68,152.2,183.83742818044425,2752.952022880636,21.791176962115852,50061.96282126687,158660.80820008306,528029.6802520752,3.5762786865234375,550681.5910339355,91780.26517232259,213898.58903664447,528029.6802520752,40.0543212890625,550606.0123443604,137651.5030860901,260736.07907715332,528447.151184082,38.14697265625,2,1,0,0,232,168,12.711519894567582,9.079657067548272,68,481,126.33333333333333,127.99029319255095,16381.515151515156,2,2,0,3,11,0,0,0,0.7142857142857143,126.33333333333333,107.85714285714286,152.2,0,0,0,0,0,0,7,755,5,761,64240,65160,2,68,550681.5910339355,0,550681.5910339355,550681.5910339355,0,0,0,0
3000,6,20/12/2025 01:32:20,547704.6966552734,7,5,754,1526,286,68,107.71428571428571,80.88204227085738,1246,68,305.2,525.9345966943038,4162.827183925057,21.909616757500306,49791.33605957031,157880.45018500026,525428.7719726562,3.814697265625,547704.6966552734,91284.11610921223,212857.5266315911,525428.7719726562,63.65776062011719,547601.9382476807,136900.48456192017,259552.73099070988,525939.2261505127,58.41255187988281,2,1,0,0,232,168,12.78060977520851,9.129006982291793,68,1246,190.0,338.36935171764327,114493.81818181818,2,2,0,3,11,0,0,0,0.7142857142857143,190.0,107.71428571428571,305.2,0,0,0,0,0,0,7,754,5,1526,64240,65160,2,68,547704.6966552734,0,547704.6966552734,547704.6966552734,0,0,0,0
3000,6,20/12/2025 01:32:21,548180.5801391602,7,5,763,761,286,68,109.0,81.1808680252517,481,68,152.2,183.83742818044425,2780.10578122472,21.890596702556852,49834.59819446911,158500.75612439474,527387.1421813965,4.0531158447265625,548180.5801391602,91363.43002319336,213759.02538854803,527387.1421813965,49.82948303222656,548079.0138244629,137019.75345611572,260645.21646331978,527730.4649353027,67.71087646484375,2,1,0,0,232,168,12.769514743158162,9.121081959398687,68,481,127.0,127.98082242699846,16379.09090909091,2,2,0,3,11,0,0,0,0.7142857142857143,127.0,109.0,152.2,0,0,0,0,0,0,7,763,5,761,64240,65160,2,68,548180.5801391602,0,548180.5801391602,548180.5801391602,0,0,0,0
3000,6,20/12/2025 01:32:21,545544.8627471924,7,5,752,761,286,68,107.42857142857143,80.8349288011421,481,68,152.2,183.83742818044425,2773.374113324077,21.996357805610657,49594.98752247204,157804.46830503462,525055.1700592041,4.0531158447265625,545544.8627471924,90924.14379119873,212828.08836034572,525055.1700592041,42.438507080078125,545472.6219177246,136368.15547943115,259543.3967561014,525430.9177398682,40.29273986816406,2,1,0,0,232,168,12.83120871993955,9.165149085671107,68,481,126.08333333333333,128.0045868022871,16385.17424242425,2,2,0,3,11,0,0,0,0.7142857142857143,126.08333333333333,107.42857142857143,152.2,0,0,0,0,0,0,7,752,5,761,64240,65160,2,68,545544.8627471924,0,545544.8627471924,545544.8627471924,0,0,0,0
3000,6,20/12/2025 01:32:22,540447.7119445801,7,5,751,761,286,68,107.28571428571429,80.81401340055301,481,68,152.2,183.83742818044425,2797.680453784671,22.20381312527517,49131.61017678001,156867.94710468012,521837.7113342285,4.5299530029296875,540447.7119445801,90074.61865743001,211637.47300790044,521837.7113342285,40.0543212890625,540376.9016265869,135094.22540664673,258289.5477271405,522329.80728149414,99.42054748535156,2,1,0,0,232,168,12.95222432307718,9.251588802197986,68,481,126.0,128.01065296578747,16386.727272727272,2,2,0,3,11,0,0,0,0.7142857142857143,126.0,107.28571428571429,152.2,0,0,0,0,0,0,7,751,5,761,64240,65160,2,68,540447.7119445801,0,540447.7119445801,540447.7119445801,0,0,0,0
3000,6,20/12/2025 01:32:22,522196.29287719727,7,5,753,761,286,68,107.57142857142857,80.85760558508014,481,68,152.2,183.83742818044425,2899.292891679032,22.979864399041205,47472.390261563385,151601.30638307845,504298.9253997803,3.814697265625,522196.29287719727,87032.71547953288,204535.7485737533,504298.9253997803,35.52436828613281,522147.89390563965,130536.97347640991,249492.36776037602,504575.9677886963,40.531158447265625,2,1,0,0,232,168,13.404920899440702,9.5749434996005,68,481,126.16666666666667,127.99917139883321,16383.787878787884,2,2,0,3,11,0,0,0,0.7142857142857143,126.16666666666667,107.57142857142857,152.2,0,0,0,0,0,0,7,753,5,761,64240,65160,2,68,522196.29287719727,0,522196.29287719727,522196.29287719727,0,0,0,0
3000,6,20/12/2025 01:40:03,2199.6498107910156,4,2,280,144,76,68,70.0,4.0,76,68,72.0,5.656854249492381,192757.9553435942,2727.70691523954,439.9299621582031,750.3273674895161,1781.7020416259766,77.96287536621094,2199.6498107910156,733.2166035970052,992.7342622868291,1875.4005432128906,77.96287536621094,1984.8346710205078,1984.8346710205078,0.0,1984.8346710205078,1984.8346710205078,0,0,0,0,136,72,1818.4712768263603,909.2356384131801,68,76,70.66666666666667,4.1311822359545785,17.06666666666667,2,2,0,0,5,0,0,0,0.5,70.66666666666667,70.0,72.0,0,0,0,0,0,0,4,280,2,144,64240,65160,0,68,2199.6498107910156,0,2199.6498107910156,2199.6498107910156,0,0,0,0
