Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
3000,6,20/12/2025 01:40:05,59654976.8447876,6,5,633,1696,285,68,105.5,87.99488621505229,1416,68,339.2,601.9594670739882,39.0411684520417,0.18439366808607074,5965497.68447876,16811194.526245084,53510232.44857788,6.198883056640625,59654963.73176575,11930992.74635315,23389109.257641375,53510232.44857788,55.789947509765625,59654957.05604553,14913739.264011383,25912906.055290814,53554095.26824951,121.83189392089844,1,1,0,0,200,168,0.10057836441058404,0.0838153036754867,68,1416,211.72727272727272,404.6094637818277,163708.81818181815,2,2,0,2,10,0,0,0,0.8333333333333334,211.72727272727272,105.5,339.2,0,0,0,0,0,0,6,633,5,1696,64240,65160,1,68,59654976.8447876,0,59654976.8447876,59654976.8447876,0,0,0,0
41506,6,20/12/2025 01:49:47,1.0,1,0,56,0,56,56,56.0,0.0,0,0,0.0,0.0,56000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,0,1000000.0,0.0,56,56,56.0,0.0,0.0,0,0,1,0,1,0,0,0,0.0,56.0,56.0,0.0,0,0,0,0,0,0,1,56,0,0,0,0,0,56,1.0,0,1.0,1.0,0,0,0,0
41518,6,20/12/2025 01:49:50,1.0,1,0,56,0,56,56,56.0,0.0,0,0,0.0,0.0,56000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,0,1000000.0,0.0,56,56,56.0,0.0,0.0,0,0,1,0,1,0,0,0,0.0,56.0,56.0,0.0,0,0,0,0,0,0,1,56,0,0,0,0,0,56,1.0,0,1.0,1.0,0,0,0,0
3000,6,20/12/2025 01:48:42,1315.5937194824219,4,3,280,212,76,68,70.0,4.0,76,68,70.66666666666667,4.618802153517006,373975.6375498369,5320.791591156216,219.26561991373697,217.91012938199958,520.7061767578125,36.00120544433594,1315.5937194824219,438.53123982747394,584.938754777159,1113.8916015625,92.50640869140625,1124.1436004638672,562.0718002319336,58.499825733120915,603.4374237060547,520.7061767578125,0,0,0,0,136,104,3040.452337803552,2280.339253352664,68,76,70.28571428571429,3.9036002917941333,15.238095238095243,2,2,0,0,6,0,0,0,0.75,70.28571428571429,70.0,70.66666666666667,0,0,0,0,0,0,4,280,3,212,64240,65160,0,68,1315.5937194824219,0,1315.5937194824219,1315.5937194824219,0,0,0,0
3000,6,20/12/2025 01:48:42,61539622.78366089,6,5,633,1696,285,68,105.5,87.99488621505229,1416,68,339.2,601.9594670739882,37.84553584586421,0.17874662700923413,6153962.278366089,17428984.391082566,55467269.1822052,5.7220458984375,61539610.86273193,12307922.172546387,24268207.581279047,55467269.1822052,36.47804260253906,61539609.43222046,15384902.358055115,26901863.587873623,55514798.402786255,145.91217041015625,1,1,0,0,200,168,0.09749816018685498,0.08124846682237916,68,1416,211.72727272727272,404.6094637818277,163708.81818181815,2,2,0,2,10,0,0,0,0.8333333333333334,211.72727272727272,105.5,339.2,0,0,0,0,0,0,6,633,5,1696,64240,65160,1,68,61539622.78366089,0,61539622.78366089,61539622.78366089,0,0,0,0
3000,6,20/12/2025 01:29:58,6.9141387939453125,1,1,76,56,76,76,76.0,0.0,56,56,56.0,0.0,19091314.75862069,289262.3448275862,6.9141387939453125,0.0,6.9141387939453125,6.9141387939453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,144631.1724137931,144631.1724137931,56,76,66.0,14.142135623730951,200.0,0,1,1,0,1,0,0,0,1.0,66.0,76.0,56.0,0,0,0,0,0,0,1,76,1,56,64240,0,0,76,6.9141387939453125,0,6.9141387939453125,6.9141387939453125,0,0,0,0
3000,6,20/12/2025 01:30:00,7.3909759521484375,1,1,76,56,76,76,76.0,0.0,56,56,56.0,0.0,17859617.032258064,270600.2580645162,7.3909759521484375,0.0,7.3909759521484375,7.3909759521484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,135300.1290322581,135300.1290322581,56,76,66.0,14.142135623730951,200.0,0,1,1,0,1,0,0,0,1.0,66.0,76.0,56.0,0,0,0,0,0,0,1,76,1,56,64240,0,0,76,7.3909759521484375,0,7.3909759521484375,7.3909759521484375,0,0,0,0
3000,6,20/12/2025 01:30:02,7.152557373046875,1,1,76,56,76,76,76.0,0.0,56,56,56.0,0.0,18454937.6,279620.26666666666,7.152557373046875,0.0,7.152557373046875,7.152557373046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,139810.13333333333,139810.13333333333,56,76,66.0,14.142135623730951,200.0,0,1,1,0,1,0,0,0,1.0,66.0,76.0,56.0,0,0,0,0,0,0,1,76,1,56,64240,0,0,76,7.152557373046875,0,7.152557373046875,7.152557373046875,0,0,0,0
3000,6,20/12/2025 01:29:48,11.682510375976562,1,1,76,56,76,76,76.0,0.0,56,56,56.0,0.0,11298941.387755102,171196.08163265308,11.682510375976562,0.0,11.682510375976562,11.682510375976562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,85598.04081632654,85598.04081632654,56,76,66.0,14.142135623730951,200.0,0,1,1,0,1,0,0,0,1.0,66.0,76.0,56.0,0,0,0,0,0,0,1,76,1,56,64240,0,0,76,11.682510375976562,0,11.682510375976562,11.682510375976562,0,0,0,0
3000,6,20/12/2025 01:29:50,7.152557373046875,1,1,76,56,76,76,76.0,0.0,56,56,56.0,0.0,18454937.6,279620.26666666666,7.152557373046875,0.0,7.152557373046875,7.152557373046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,139810.13333333333,139810.13333333333,56,76,66.0,14.142135623730951,200.0,0,1,1,0,1,0,0,0,1.0,66.0,76.0,56.0,0,0,0,0,0,0,1,76,1,56,64240,0,0,76,7.152557373046875,0,7.152557373046875,7.152557373046875,0,0,0,0
